AUC
0.88392
0.9078
0.92326
0.9316
0.89448
0.90808
0.9298
0.94062
0.88916
0.87548
0.948
0.9166
0.89556
0.8854
0.86962
0.92472
0.95002
0.91574
0.87598
0.94802
0.94064
0.92052
0.89712
0.9242
0.9079
0.91088
0.8948
0.94144
0.92076
0.93696
0.93156
0.92004
0.9175
0.91586
0.93492
0.92086
0.92404
0.90476
0.92324
0.89324
